,数值近似多项式,数值误差,近似多项式,误差,勒让德多项式
n=0,1.1752011936438,e^{x} - 1.1752011936438,\sinh{\left(1 \right)},e^{x} - \sinh{\left(1 \right)},1
n=1,1.10363832351433 x + 1.1752011936438,- 1.10363832351433 x + 0.367879441171442 e^{x + 1} - 1.1752011936438,\frac{6 x - 1 + e^{2}}{2 e},\frac{- 6 x + 2 e^{x + 1} - e^{2} + 1}{2 e},x
n=2,0.536721525971059 x^{2} + 1.10363832351433 x + 0.996294018320115,- 0.536721525971059 x^{2} - 1.10363832351433 x + 0.367879441171442 e^{x + 1} - 0.996294018320115,\frac{12 x + 5 \left(-7 + e^{2}\right) \left(3 x^{2} - 1\right) - 2 + 2 e^{2}}{4 e},\frac{- 12 x + 5 \cdot \left(7 - e^{2}\right) \left(3 x^{2} - 1\right) + 4 e^{x + 1} - 2 e^{2} + 2}{4 e},\frac{3 x^{2}}{2} - \frac{1}{2}
n=3,0.176139084171224 x^{3} + 0.536721525971059 x^{2} + 0.997954873011593 x + 0.996294018320115,- 0.176139084171224 x^{3} - 0.536721525971059 x^{2} - 0.997954873011593 x + 0.367879441171442 e^{x + 1} - 0.996294018320115,\frac{- 7 x \left(-37 + 5 e^{2}\right) \left(5 x^{2} - 3\right) + 12 x + 5 \left(-7 + e^{2}\right) \left(3 x^{2} - 1\right) - 2 + 2 e^{2}}{4 e},\frac{- 7 x \left(37 - 5 e^{2}\right) \left(5 x^{2} - 3\right) - 12 x + 5 \cdot \left(7 - e^{2}\right) \left(3 x^{2} - 1\right) + 4 e^{x + 1} - 2 e^{2} + 2}{4 e},\frac{x \left(5 x^{2} - 3\right)}{2}
n=4,0.0435974356513095 x^{4} + 0.176139084171224 x^{3} + 0.499352295412685 x^{2} + 0.997954873011593 x + 1.00003094137593,- 0.0435974356513931 x^{4} - 0.176139084171219 x^{3} - 0.499352295412685 x^{2} - 0.997954873011598 x + 0.367879441171442 e^{x + 1} - 1.00003094137594,\frac{5 \left(- 8379 x^{4} + 1134 x^{4} e^{2} - 70 x^{3} e^{2} + 518 x^{3} - 966 x^{2} e^{2} + 7140 x^{2} - 306 x + 42 x e^{2} - 705 + 96 e^{2}\right)}{8 e},\frac{- 5670 x^{4} e^{2} + 41895 x^{4} - 2590 x^{3} + 350 x^{3} e^{2} - 35700 x^{2} + 4830 x^{2} e^{2} - 210 x e^{2} + 1530 x + 8 e^{x + 1} - 480 e^{2} + 3525}{8 e},\frac{35 x^{4}}{8} - \frac{15 x^{2}}{4} + \frac{3}{8}
n=5,0.00865924075198658 x^{5} + 0.0435974356513931 x^{4} + 0.166517705557217 x^{3} + 0.499352295412769 x^{2} + 1.00001659699943 x + 1.00003094137595,- 0.0086592407493099 x^{5} - 0.0435974356513931 x^{4} - 0.166517705557217 x^{3} - 0.499352295412685 x^{2} - 1.00001659699943 x + 0.367879441171442 e^{x + 1} - 1.00003094137594,\frac{3 \left(- 75999 x^{5} e^{2} + 561561 x^{5} - 27930 x^{4} + 3780 x^{4} e^{2} - 622230 x^{3} + 84210 x^{3} e^{2} - 3220 x^{2} e^{2} + 23800 x^{2} - 17955 x e^{2} + 132685 x - 2350 + 320 e^{2}\right)}{16 e},\frac{- 1684683 x^{5} + 227997 x^{5} e^{2} - 11340 x^{4} e^{2} + 83790 x^{4} - 252630 x^{3} e^{2} + 1866690 x^{3} - 71400 x^{2} + 9660 x^{2} e^{2} - 398055 x + 53865 x e^{2} + 16 e^{x + 1} - 960 e^{2} + 7050}{16 e},\frac{x \left(63 x^{4} - 70 x^{2} + 15\right)}{8}
n=6,0.00143587210097838 x^{6} + 0.00865924074997907 x^{5} + 0.0416394282894828 x^{4} + 0.16651770556257 x^{3} + 0.500004964502652 x^{2} + 1.00001659699993 x + 0.999999861895628,- 0.00143587205815158 x^{6} - 0.0086592407493099 x^{5} - 0.041639428353723 x^{4} - 0.166517705557217 x^{3} - 0.500004964545478 x^{2} - 1.00001659699943 x + 0.367879441171442 e^{x + 1} - 0.999999861893286,\frac{7 \left(- 11586003 x^{6} + 1567995 x^{6} e^{2} - 65142 x^{5} e^{2} + 481338 x^{5} - 2134935 x^{4} e^{2} + 15775155 x^{4} - 533340 x^{3} + 72180 x^{3} e^{2} - 5245965 x^{2} + 709965 x^{2} e^{2} - 15390 x e^{2} + 113730 x - 33665 e^{2} + 248765\right)}{32 e},\frac{- 10975965 x^{6} e^{2} + 81102021 x^{6} - 3369366 x^{5} + 455994 x^{5} e^{2} - 110426085 x^{4} + 14944545 x^{4} e^{2} - 505260 x^{3} e^{2} + 3733380 x^{3} - 4969755 x^{2} e^{2} + 36721755 x^{2} - 796110 x + 107730 x e^{2} + 32 e^{x + 1} - 1741355 + 235655 e^{2}}{32 e},\frac{231 x^{6}}{16} - \frac{315 x^{4}}{16} + \frac{105 x^{2}}{16} - \frac{5}{16}
n=7,0.000204324281376349 x^{7} + 0.00143587205815158 x^{6} + 0.00832917602520447 x^{5} + 0.041639428353723 x^{4} + 0.166667735130565 x^{3} + 0.500004964545478 x^{2} + 0.999999927147951 x + 0.999999861893286,- 0.000204324281376349 x^{7} - 0.00143587205815158 x^{6} - 0.00832917602520447 x^{5} - 0.041639428353723 x^{4} - 0.166667735130565 x^{3} - 0.500004964545478 x^{2} - 0.999999927147951 x + 0.367879441171442 e^{x + 1} - 0.999999861893286,\frac{- 307876140 x^{7} e^{2} + 2274914070 x^{7} - 81102021 x^{6} + 10975965 x^{6} e^{2} - 3671491824 x^{5} + 496882386 x^{5} e^{2} - 14944545 x^{4} e^{2} + 110426085 x^{4} - 225557640 x^{3} e^{2} + 1666658070 x^{3} - 36721755 x^{2} + 4969755 x^{2} e^{2} - 184802940 x + 25010370 x e^{2} - 235655 e^{2} + 1741355}{32 e},\frac{- 2274914070 x^{7} + 307876140 x^{7} e^{2} - 10975965 x^{6} e^{2} + 81102021 x^{6} - 496882386 x^{5} e^{2} + 3671491824 x^{5} - 110426085 x^{4} + 14944545 x^{4} e^{2} - 1666658070 x^{3} + 225557640 x^{3} e^{2} - 4969755 x^{2} e^{2} + 36721755 x^{2} - 25010370 x e^{2} + 184802940 x + 32 e^{x + 1} - 1741355 + 235655 e^{2}}{32 e},\frac{x \left(429 x^{6} - 693 x^{4} + 315 x^{2} - 35\right)}{16}
n=8,2.54576224803951 \cdot 10^{-5} x^{8} + 0.000204323938761921 x^{7} + 0.00138832848177969 x^{6} + 0.00832917533997561 x^{5} + 0.0416668262017109 x^{4} + 0.166667733417493 x^{3} + 0.499999965629662 x^{2} + 0.999999927019471 x + 1.00000000063875,- 2.54356951569839 \cdot 10^{-5} x^{8} - 0.000204324281376349 x^{7} - 0.00138826269980945 x^{6} - 0.00832917602520447 x^{5} - 0.0416668262017109 x^{4} - 0.166667735130565 x^{3} - 0.49999998481607 x^{2} - 0.999999927147951 x + 0.367879441171442 e^{x + 1} - 1.00000000046744,\frac{9 \left(- 64784168735 x^{8} + 8767583825 x^{8} e^{2} - 273667680 x^{7} e^{2} + 2022145840 x^{7} - 16356400060 x^{6} e^{2} + 120858357620 x^{6} - 3263548288 x^{5} + 441673232 x^{5} e^{2} - 69669409810 x^{4} + 9428729310 x^{4} e^{2} - 200495680 x^{3} e^{2} + 1481473840 x^{3} - 1712312140 x^{2} e^{2} + 12652370500 x^{2} - 164269280 x + 22231440 x e^{2} - 350813575 + 47477465 e^{2}\right)}{256 e},\frac{- 78908254425 x^{8} e^{2} + 583057518615 x^{8} - 18199312560 x^{7} + 2463009120 x^{7} e^{2} - 1087725218580 x^{6} + 147207600540 x^{6} e^{2} - 3975059088 x^{5} e^{2} + 29371934592 x^{5} - 84858563790 x^{4} e^{2} + 627024688290 x^{4} - 13333264560 x^{3} + 1804461120 x^{3} e^{2} - 113871334500 x^{2} + 15410809260 x^{2} e^{2} - 200082960 x e^{2} + 1478423520 x + 256 e^{x + 1} - 427297185 e^{2} + 3157322175}{256 e},\frac{6435 x^{8}}{128} - \frac{3003 x^{6}}{32} + \frac{3465 x^{4}}{64} - \frac{315 x^{2}}{32} + \frac{35}{128}
n=9,3.50837174579089 \cdot 10^{-6} x^{9} + 2.54356951569839 \cdot 10^{-5} x^{8} + 0.00019646881776429 x^{7} + 0.00138821884516263 x^{6} + 0.00832887452450756 x^{5} + 0.0416668481290343 x^{4} + 0.166666953969669 x^{3} + 0.49999998481607 x^{2} + 0.999999969632141 x + 1.00000000046744,- 2.54356951569839 \cdot 10^{-5} x^{8} - 0.000202082212557555 x^{7} - 0.00138826269980945 x^{6} - 0.00833027787320588 x^{5} - 0.0416668262017109 x^{4} - 0.166667304806843 x^{3} - 0.49999998481607 x^{2} - 0.999999969632141 x + 0.367879441171442 e^{x + 1} - 1.00000000046744,\frac{5 \left(- 568595781611 x^{9} e^{2} + 4201386127939 x^{9} - 116611503723 x^{8} + 15781650885 x^{8} e^{2} - 8893413114300 x^{7} + 1203592582764 x^{7} e^{2} - 29441520108 x^{6} e^{2} + 217545043716 x^{6} - 842064617394 x^{5} e^{2} + 6222062696850 x^{5} - 125404937658 x^{4} + 16971712758 x^{4} e^{2} - 1594240291644 x^{3} + 215756961420 x^{3} e^{2} - 3082161852 x^{2} e^{2} + 22774266900 x^{2} - 14695291611 x e^{2} + 108584334243 x - 631464435 + 85459437 e^{2}\right)}{256 e},\frac{- 21006930639695 x^{9} + 2842978908055 x^{9} e^{2} - 78908254425 x^{8} e^{2} + 583057518615 x^{8} - 6017962913820 x^{7} e^{2} + 44467065571500 x^{7} - 1087725218580 x^{6} + 147207600540 x^{6} e^{2} - 31110313484250 x^{5} + 4210323086970 x^{5} e^{2} - 84858563790 x^{4} e^{2} + 627024688290 x^{4} - 1078784807100 x^{3} e^{2} + 7971201458220 x^{3} - 113871334500 x^{2} + 15410809260 x^{2} e^{2} - 542921671215 x + 73476458055 x e^{2} + 256 e^{x + 1} - 427297185 e^{2} + 3157322175}{256 e},\frac{x \left(12155 x^{8} - 25740 x^{6} + 18018 x^{4} - 4620 x^{2} + 315\right)}{128}
